[17/Apr/2023 05:25:47] INFO [django.utils.autoreload:677] Watching for file changes with StatReloader
[17/Apr/2023 05:25:47] DEBUG [django.utils.autoreload:330] Waiting for apps ready_event.
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:342] Apps ready_event triggered. Sending autoreload_started signal.
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\ckeditor\templates with glob **/*.
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\compressor\templates with glob **/*.
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\USER\Desktop\Djangoprojects\Base\App\templates with glob **/*.
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\USER\Desktop\DjangoProjects\Base\templates with glob **/*.
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\cloudinary\templates with glob **/*.
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\USER\Desktop\Djangoprojects\Base\locale with glob **/*.mo.
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\USER\Desktop\Djangoprojects\Base\App\locale with glob **/*.mo.
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\ckeditor\locale with glob **/*.mo.
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\compressor\locale with glob **/*.mo.
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\cloudinary\locale with glob **/*.mo.
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\cloudinary_storage\locale with glob **/*.mo.
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\django\core\checks\urls.py first seen with mtime 1678939940.3818204
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\django\utils\termcolors.py first seen with mtime 1678939940.9880247
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1678939940.5192926
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\concurrent\futures\_base.py first seen with mtime 1666632848.0
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\ckeditor_uploader\utils.py first seen with mtime 1681105463.3597605
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\django\template\loader_tags.py first seen with mtime 1678939940.863029
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\django\utils\deprecation.py first seen with mtime 1678939940.9567764
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\cloudinary\forms.py first seen with mtime 1681563921.8826747
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\django\db\backends\mysql\base.py first seen with mtime 1678939940.534915
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\django\core\files\__init__.py first seen with mtime 1678939940.397445
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\django\contrib\auth\admin.py first seen with mtime 1678939936.7937636
